customer ID,full name,gender,age,state,job classification,date joined,balance,marital status,education,houseloan,otherloan,contact,poutcome,loan default
A01,Christy  Olson,Male,21,California,White Collar,05.Jan.2017,"$169,864.42 ",married,primary,no,no,cellular,unknown,no
A02,Dan  Peterson,Female,34,Oregon,Blue Collar,06.Jan.2017,"$55,102.60 ",married,secondary,yes,yes,cellular,failure,no
A03,Mable  Lindsey,Male,46,California,White Collar,07.Jan.2017,"$151,546.03 ",single,tertiary,yes,no,cellular,failure,no
A04,Kyle  Carr,Male,32,Wyoming,White Collar,08.Jan.2017,"$2,120.19 ",married,tertiary,yes,yes,unknown,unknown,no
A05,Rachel  Gomez,Female,38,California,Blue Collar,09.Jan.2017,"$53,192.24 ",married,secondary,yes,no,unknown,unknown,no
A06,Isabel  Cross,Female,30,Wyoming,Blue Collar,09.Jan.2017,"$182,750.42 ",single,tertiary,no,no,cellular,failure,no
A07,Billie  Chandler,Female,34,California,Blue Collar,11.Jan.2017,"$63,998.28 ",married,tertiary,yes,no,cellular,other,no
A08,Sylvester  Morales,Female,48,Nevada,Other,11.Jan.2017,"$54,745.04 ",married,secondary,yes,no,cellular,unknown,no
A09,Rachel  Gomez,Female,33,Wyoming,White Collar,11.Jan.2017,"$110,870.69 ",married,tertiary,yes,no,unknown,unknown,no
A010,Beth  Tucker,Male,42,California,White Collar,12.Jan.2017,"$16,285.76 ",married,primary,yes,yes,cellular,failure,no
A011,Shari  Silva,Male,40,California,White Collar,12.Jan.2017,"$59,204.24 ",married,secondary,yes,no,unknown,unknown,no
A012,Drew  Rogers,Male,39,California,White Collar,12.Jan.2017,"$48,180.04 ",married,secondary,yes,no,cellular,unknown,no
A013,Arturo  Francis,Male,24,California,White Collar,12.Jan.2017,"$60,866.63 ",married,tertiary,no,no,cellular,unknown,no
A014,Mable  Lindsey,Male,46,Nevada,Other,12.Jan.2017,"$72,821.60 ",single,secondary,no,no,cellular,unknown,yes
A015,Shari  Silva,Female,36,Wyoming,Other,12.Jan.2017,"$4,246.33 ",married,secondary,yes,yes,cellular,failure,no
A016,Rachel  Gomez,Male,42,California,White Collar,14.Jan.2017,"$3,158.00 ",married,tertiary,no,yes,cellular,unknown,no
A017,Jenny  Garcia,Female,31,Nevada,Other,14.Jan.2017,"$15,455.70 ",married,secondary,no,no,cellular,unknown,no
A018,Colleen  Warren,Female,42,Nevada,Other,14.Jan.2017,"$5,672.69 ",single,tertiary,yes,no,cellular,failure,no
A019,Pauline  Beck,Male,40,California,Blue Collar,15.Jan.2017,"$97,811.49 ",single,primary,yes,no,unknown,unknown,no
A020,Shari  Silva,Female,46,California,Blue Collar,15.Jan.2017,"$17,106.94 ",married,secondary,no,no,cellular,other,no
A021,Jenny  Garcia,Male,37,Wyoming,Other,16.Jan.2017,"$47,429.72 ",divorced,unknown,yes,no,cellular,unknown,no
A022,Ben  Perez,Male,58,Nevada,Blue Collar,18.Jan.2017,"$31,719.37 ",divorced,tertiary,no,no,cellular,unknown,no
A023,Cassandra  Franklin,Female,41,Wyoming,White Collar,18.Jan.2017,"$99,678.79 ",single,secondary,no,no,unknown,unknown,no
A024,Elaine  Ellis,Male,52,Nevada,Blue Collar,19.Jan.2017,"$9,820.63 ",married,secondary,no,no,cellular,unknown,no
A025,Beth  Tucker,Female,38,California,White Collar,20.Jan.2017,"$30,603.48 ",married,tertiary,no,no,cellular,unknown,no
A026,Cassandra  Franklin,Male,55,Nevada,Blue Collar,21.Jan.2017,"$64,549.66 ",married,tertiary,no,no,cellular,unknown,no
A027,Colleen  Warren,Female,37,Oregon,White Collar,23.Jan.2017,"$5,919.72 ",married,primary,yes,no,unknown,unknown,no
A028,Cassandra  Franklin,Female,33,California,White Collar,25.Jan.2017,"$5,115.78 ",married,unknown,no,no,telephone,failure,no
A029,Cassandra  Franklin,Male,50,Nevada,Blue Collar,25.Jan.2017,"$30,619.57 ",married,secondary,no,yes,cellular,unknown,no
A030,Nellie  Joseph,Male,42,California,White Collar,27.Jan.2017,"$16,138.57 ",married,secondary,no,yes,cellular,unknown,no
A031,Guillermo  Potter,Female,25,California,White Collar,28.Jan.2017,"$58,042.94 ",divorced,secondary,no,no,telephone,unknown,yes
A032,Lynette  Brewer,Male,30,Wyoming,White Collar,28.Jan.2017,"$21,034.36 ",married,secondary,no,no,cellular,unknown,no
A033,Rachel  Gomez,Female,58,Nevada,Other,29.Jan.2017,"$38,603.30 ",married,secondary,no,no,cellular,unknown,no
